Index page,Oorspr. naam op de kaart/Original name on the map,Tegenwoordige naam/Present name,Soortnaam/Category,Coördinaten/Coordinates,Kaartvak/Map grid square,Kaart/Map,Pagina/Page
399,Aajer Gila,-,rivier/river,-,B2R,I-39a,p. 226
399,"Aandomaon, Ilha de",Andamanen/Andaman Islands,eilanden/islands,12-30N/92-50E,A2-B2,I-31,p. 212
399,Aapjesberg,Apenberg/Bukit Monyet,berg/mountain,00-58S/100-20E,B3,I-34,p. 214
399,Aarnhems Land,Arnhem Land,landstreek/region,13-30S/134E,A3,II-1a,p. 234
399,Aarnhems Landt,Arnhem Land,landstreek/region,13-30S/134E,B3,I-1,p. 40
399,Aart Gysens H.,Tg. Mangkalihat,kaap/cape,01N/119E,A2,II-1a,p. 234
399,art Gysens Hoek,Tg. Mangkalihat,kaap/cape,01N/119E,B2,II-1b,p. 236
399,"Aatchellay, R.",Per Aru,rivier/river,09-15N/80-45E,B3,I-23r,p. 170
399,Aatkoer,-,plaats/settlement,-,A1L,I-25a,p. 180
399,Abbajapalem,-,plaats/settlement,-,A1L,I-25a,p. 180
399,Abdabas,-,-,-,A2,I-27,p. 202
399,Abel Tasmans Bayen,Port Mc Arthur,baai/bay,15-50S/136-45E,B3,II-1a,p. 234
399,"Aberin, Entra de Banda de",-,-,-,B1,I-12a,p. 98
399,Abeschier,Bushehr,plaats/settlement,28-55N/50-49E,A2,I-13b,p. 104
399,Abigo,Leyte,eiland/island,11N/124-50E,B2,II-1b,p. 236
399,Aboela,-,plaats/settlement,-,B1,II-17d,p. 310
399,Abrolho,-,eiland/island,-,B2,I-1,p. 40
399,Abrolho,-,eiland/island,-,B2,I-2a,p. 42
399,Abroso Ilhaes,-,eilanden/islands,-,B1,I-1,p. 40
399,Abulnado,-,-,-,B3,I-2a,p. 42
399,Accuras,<Akuressa>,fort/fortress,06-05N/80-28E,B3RO,I-23n,p. 162
399,Acherapette,-,plaats/settlement,-,A2/3R,I-25a,p. 180
399,"Achilamma, R.",Lamo,rivier/river,00-05S/127-55E,A1,II-46a,p. 388
399,"Achilammoe, R.",Lamo,rivier/river,00-05S/127-55E,A1,II-46b,p. 390
399,"Acht Steene Eylanden, De",Jezt.Sowabih/Sawabi'/Jaza'ir Seba,eilanden/islands,12-27N/43-23E,B1,I-12a,p. 98
