Places,,,,,,PoolParty URI
TRUE,Political Admin Bodies,,,,,https://digitaalerfgoed.poolparty.biz/globalise/3a7d9c3a-c494-4713-b6a7-65cc125271a8
TRUE,,Polities,,,,https://digitaalerfgoed.poolparty.biz/globalise/ebf26f69-b692-437a-b6fa-2bb4ae0ae95b
TRUE,,,empire,,,https://digitaalerfgoed.poolparty.biz/globalise/27785c97-df3c-424e-aa75-bddbd674e183
TRUE,,,federation,,,https://digitaalerfgoed.poolparty.biz/globalise/aac3913b-50a0-4d44-adbf-080a98a6729c
TRUE,,,kingdom,,,https://digitaalerfgoed.poolparty.biz/globalise/6f1f178a-fa6f-4553-a723-99f9d909a771
TRUE,,,principality,,,https://digitaalerfgoed.poolparty.biz/globalise/e2aea655-e60c-47a1-96d8-4c2fd0f92ba2
TRUE,,,tsardom,,,https://digitaalerfgoed.poolparty.biz/globalise/898609ad-8253-443f-be2b-455d31e67a7e
TRUE,,,"""negorij""",,,https://digitaalerfgoed.poolparty.biz/globalise/7c1af419-926c-47c9-9450-05dc5849c05c
TRUE,,Political Division,,,,https://digitaalerfgoed.poolparty.biz/globalise/6b2244e4-726a-46b6-bc6c-f1b86b42b6ba
TRUE,,,VOC Admin Region,,,https://digitaalerfgoed.poolparty.biz/globalise/49b48294-d3be-4a92-a066-a13be466993c
TRUE,,,regency,,,https://digitaalerfgoed.poolparty.biz/globalise/55f41aea-cc65-4cfb-88c4-766a2841452a
TRUE,,,district,,,https://digitaalerfgoed.poolparty.biz/globalise/40217104-de46-42ed-80c8-480fac1f8706
TRUE,,,,korale,,https://digitaalerfgoed.poolparty.biz/globalise/1e90e06d-581a-4cdc-a2a5-00580b25d93d
TRUE,,,province,,,https://digitaalerfgoed.poolparty.biz/globalise/0e3137ad-bc4d-4da6-8ba3-f4fc5fe7058f
TRUE,,,,dessavony,,https://digitaalerfgoed.poolparty.biz/globalise/46a91433-5f11-49f5-a37b-bd52aec90197
