PLACE,GLOB_ID,RELATION,RELATED_PLACE,RELATED_GLOB_ID,RELATION_REMARKS,SOURCE,SOURCE_PAGE,,CHECKED?
Ranny (),NR_0,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Calahalam (),NR_1,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Tennepatnam  (),NR_2,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Balussery (),NR_3,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Poonoor (),NR_4,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Konga (),NR_5,Overlaps,Kannur (Cananoor|Cananor|Cannanoor|Cannanore|Cannanur|Canonor|Conannor),GLOB_29,,"NL-HaNA_4.VEL_231 Kaart van Canara En Marabaar, van Onor Tot Cabo Commoryn, En Een Gedeelte van de Kust van Cormandel En Ceylon.",,,FALSE
Kuttichira (),NR_6,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Trentpatnam (),NR_7,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
,,,,,,,,,FALSE
Nadakkavu (),NR_9 ,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Munderi (),NR_11,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Kannapuram (),NR_12,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Chaliyar  (),NR_13,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Challij is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut. The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Vanneri (),NR_14,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Vermenij is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut. The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Pallur (),NR_15,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,"Pallur is indicated on the map as being part of ""the land of the Samoryn or the kingdom of Krangenoor (Kodungallur)."" This suggests that the kingdom of Krangenoor was conquered by the Samoryn (Zamorin or Samuthiri) or the King of Calicut. The map also demarcates the Kingdom of Calicut as being separate from the Kingdom of Kodungallur. ","NL-HaNA_4.VEL_883 Particuliere Kaart van Een Gedeelte van de Mallabaar, of de Strekking de Riviers van Chettua Tot Coilang.",,,FALSE
Chettikkad (),NR_16,Overlaps,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Udayamperoor (),NR_17,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Pallipuram (),NR_18 ,Part Of,Cochin (Kingdom) (),GLOB_299_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Mattam (),NR_19,Part Of,Kayamkulam (kingdom) (),GLOB_26_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Calbara (),NR_20,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,NL-HaNA_4.VEL_881 De Kusten van Malabar En Koromandel 881.,,,FALSE
Tanniyurnagaram  (),,Part Of,Kodungallur (Kingdom) (),GLOB_43_HUM_2,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Dharmadam (),NR_25,Part Of,Kozhikode (kingdom) (),GLOB_2_1010_HUM_1,,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,FALSE
Azhikkal (Baliapatam|Valarpattanam),GLOB_176,Part Of,Kannur (Kingdom) (),GLOB_29_HUM_2,,,,,FALSE
Manappally (Kollam) (),NR_27,,,,,,,,FALSE
Kovalam (),NR_28,,,,,,,,FALSE
Vadanappally (),NR_29,,,,,,,,FALSE
Talikkulam (),NR_30,,,,,,,,FALSE
Chelodi (),NR_31,,,,,,,,FALSE
Cherkara (),NR_32,,,,,,,,FALSE
