EXISTING_PLACE,EXISTING_ID,GLOB_ID,PREF_LABEL,PREF_LABEL_SOURCE,PREF_LABEL_SOURCE_PAGE,PREF_LABEL_REMARKS,PREF_LABEL_REMARKS_SOURCE,PREF_LABEL_REMARKS_SOURCE_PAGE,LATITUDE,LONGITUDE,COORD_CERTAINTY,COORD_SOURCE,COORD_SOURCE_PAGE,COORD_REMARKS,COORD_REMARKS_SOURCE,COORD_REMARKS_SOURCE_PAGE,CCODES,WHG_ID,GEONAMES_ID,TGN_ID,WIKIDATA_ID,AMH_ID,EXTERNAL_IDS,OVERALL_REMARKS,OVERALL_SOURCE,OVERALL_SOURCE_PAGE,,CHECKED?,TEST_LAT,TEST_LONG,TEST_GN,TEST_WHG,EXTERNAL_ID,TEST_AMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,
Ranny (),NR_0,NR_0,Ranny,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,12.392592,75.032989,uncertain,Wikidata,https://www.wikidata.org/wiki/Q3519346,"Based on the location of 'Fort Rani' on the early modern map, the creators of this dataset assumed that it references the Bekal Fort, though whether they are the same place is uncertain.",NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,India,,,,https://www.wikidata.org/wiki/Q3519346,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Calahalam (),NR_1,NR_1,Calahalam,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,There is a place called 'Kallahalli' in Karnataka (https://www.geonames.org/10879674/kallahalli.html) but its location looks too different from that of 'Calahalam' on the map.,,,,FALSE,,,,,,,
Tennepatnam  (),NR_2,NR_2,Tennepatnam ,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,,,,,FALSE,,,,,,,
Palluruthy (Point) (),NR_77_GEO_1,NR_77_GEO_1,Palluruthy (Point),Wikidata,https://www.wikidata.org/wiki/Q7127956,,,,9.921389,76.273889,certain ,Wikidata,https://www.wikidata.org/wiki/Q7127956,,,,India,,,,https://www.wikidata.org/wiki/Q7127956,,,,,,,FALSE,,,,,,,
Balussery (),NR_3,NR_3,Balussery,Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,11.45,75.83,certain,Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,India,,https://www.geonames.org/1277505/balussheri.html,,https://www.wikidata.org/wiki/Q4853091,,,,,,,FALSE,,,,,,,
poonoor (),NR_4,NR_4,Poonoor,Wikidata,https://www.wikidata.org/wiki/Q7228732,,,,11.436611,75.9014,certain,Wikidata,https://www.wikidata.org/wiki/Q7228732,,,,India,,,,https://www.wikidata.org/wiki/Q7228732,,,,,,,FALSE,,,,,,,
Konga (),NR_5,NR_5,Konga,"NL-HaNA_4.VEL_231 Kaart van Canara en Marabaar, van Onor tot Cabo Commoryn, en een gedeelte van de Kust van Cormandel en Ceylon",,,,,,,,,,,,,India,,,,,,,This might be the same place as 'Kugnali' on VEL map 881 and 'Conjali' on Valentijn's map of southern India,"NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881, ""François Valentijn, Oud en Nieuw Oost-Indiën, Vol 5""",NP|map after p. 1,,FALSE,,,,,,,
Kuttichira (),NR_6,NR_6,Kuttichira,Wikidata,https://www.wikidata.org/wiki/Q101429214,,,,11.241739,75.777489,certain,Wikidata,https://www.wikidata.org/wiki/Q101429214,,,,India,,,,https://www.wikidata.org/wiki/Q101429214,,,,,,,FALSE,,,,,,,
Trentpatnam (),NR_7,NR_7,Trentpatnam,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"M. O. Koshy's The Dutch Power in Kerala mentions this place: ""The island [of Dharmapattanam] was of strategic importance to the English since 'it is a Lock or Bar to the Rivers of Trintapatam, Bengatt Durmapatam and Codolee [...].'"" Based on Google Maps, these 3 rivers might be: Anjarakandy River (Ancharakkandi Puzha - GeoNames ID 8441801); Ummanchira River; Kuyyali River.",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",134,,FALSE,,,,,,,
Coutta  (),NR_8,NR_8,Coutta ,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,11.23333,75.76667,uncertain,GeoNames (GN),https://www.geonames.org/1273832/coote-reef.html,"The coordinates of a GeoNames ID called 'Coote Reef' are used here because of the similarities in the name and location of this place with those of the place 'Coutta' on the map. However, it is uncertain they are the same place.",,,India,,https://www.geonames.org/1273832/coote-reef.html,,,,,,,,,FALSE,,,,,,,
