EXISTING_PLACE,EXISTING_ID,GLOB_ID,PREF_LABEL,PREF_LABEL_SOURCE,PREF_LABEL_SOURCE_PAGE,PREF_LABEL_REMARKS,PREF_LABEL_REMARKS_SOURCE,PREF_LABEL_REMARKS_SOURCE_PAGE,LATITUDE,LONGITUDE,COORD_CERTAINTY,COORD_SOURCE,COORD_SOURCE_PAGE,COORD_REMARKS,COORD_REMARKS_SOURCE,COORD_REMARKS_SOURCE_PAGE,CCODES,WHG_ID,GEONAMES_ID,TGN_ID,WIKIDATA_ID,AMH_ID,EXTERNAL_IDS,OVERALL_REMARKS,OVERALL_SOURCE,OVERALL_SOURCE_PAGE,,CHECKED?,TEST_LAT,TEST_LONG,TEST_GN,TEST_WHG,EXTERNAL_ID,TEST_AMH,
,,NR_0_HUM_1,Ranny (Fort),"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,12.392592,75.032989,uncertain,Wikidata,https://www.wikidata.org/wiki/Q3519346,"Based on the location of 'Fort Rani' on the early modern map, the creators of this dataset assumed that it references the Bekal Fort, though whether they are the same place is uncertain.",NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,India,,,,https://www.wikidata.org/wiki/Q3519346,,,,,,,FALSE,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,checked
,,NR_0,Ranny,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,12.392592,75.032989,uncertain,Wikidata,https://www.wikidata.org/wiki/Q3519346,"Based on the location of 'Fort Rani' on the early modern map, the creators of this dataset assumed that it references the Bekal Fort, though whether they are the same place is uncertain.",NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881,,India,,,,https://www.wikidata.org/wiki/Q3519346,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_1,Calahalam,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"There is a place called 'Kallahalli' in Karnataka (GeoNames ID 10879674), but its location looks too different from that of 'Calahalam' on the early modern map. The map indicates that Calahalam was a coastal place located somewhere between Mangelore (i.e. Mangaluru) and Meserom (i.e. Manjeshwar).","""NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.""",,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_2,Tennepatnam ,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"Based on the early modern maps, this place was located in Kannur's proximity, near a coastal river mouth to the south of Kannur.","""NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde."", ""NL-HaNA_4.MIKO_W23 Kaart van Ceylon, de Zuidkust van India (Mallabar En Cormandel) En de Maldiven.""",,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_77_GEO_1,Palluruthy (Point),Wikidata,https://www.wikidata.org/wiki/Q7127956,,,,9.921389,76.273889,uncertain,Wikidata,https://www.wikidata.org/wiki/Q7127956,,,,India,,,,https://www.wikidata.org/wiki/Q7127956,,,"[DISAMBIGUATION] This is a place in Kochi, in present-day Ernakulam district. NOT to be confused with Pallathuruthy in Alappuzha district.",,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_3,Balussery,Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,11.45,75.83,certain,Wikidata,https://www.wikidata.org/wiki/Q4853091,,,,India,,https://www.geonames.org/1277505/balussheri.html,,https://www.wikidata.org/wiki/Q4853091,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_4,Poonoor,Wikidata,https://www.wikidata.org/wiki/Q7228732,,,,11.436611,75.9014,certain,Wikidata,https://www.wikidata.org/wiki/Q7228732,,,,India,,,,https://www.wikidata.org/wiki/Q7228732,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_5,Konga,"NL-HaNA_4.VEL_231 Kaart van Canara en Marabaar, van Onor tot Cabo Commoryn, en een gedeelte van de Kust van Cormandel en Ceylon",,,,,,,,,,,,,India,,,,,,,This might be the same place as 'Kugnali' on VEL map 881 and 'Conjali' on Valentijn's map of southern India,"NL-HaNA_4.VEL_881 De Kusten van Malabar en Koromandel 881, ""François Valentijn, Oud en Nieuw Oost-Indiën, Vol 5""",NP|map after p. 1,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_6,Kuttichira,Wikidata,https://www.wikidata.org/wiki/Q101429214,,,,11.241739,75.777489,certain,Wikidata,https://www.wikidata.org/wiki/Q101429214,,,,India,,,,https://www.wikidata.org/wiki/Q101429214,,,,,,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
,,NR_7,Trentpatnam,"NL-HaNA_4.MIKO_W37 Kaart van de Zuidkust van India, van Goa Aan de Westzijde Tot Aan de Rivier Samgam Aan de Oostzijde.",,,,,,,,,,,,,India,,,,,,,"M. O. Koshy's The Dutch Power in Kerala mentions this place: ""The island [of Dharmapattanam] was of strategic importance to the English since 'it is a Lock or Bar to the Rivers of Trintapatam, Bengatt Durmapatam and Codolee [...].'"" Based on Google Maps, these 3 rivers might be: Anjarakandy River (Ancharakkandi Puzha - GeoNames ID 8441801); Ummanchira River; Kuyyali River.",""" M. O. Koshy, The Dutch Power in Kerala, 1729-1758""",134,,FALSE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,checked
